caller,receiver,timestamp,duration_seconds
+91 90000 10021,+91 90000 10004,2026-08-10T00:15:00Z,40
+91 90000 10024,+91 90000 10009,2026-08-11T01:15:00Z,265
+91 90000 10008,+91 90000 10005,2026-08-12T02:15:00Z,769
+91 90000 10004,+91 90000 10022,2026-08-13T03:15:00Z,773
+91 90000 10029,+91 90000 10018,2026-08-14T04:15:00Z,104
+91 90000 10019,+91 90000 10014,2026-08-15T05:15:00Z,47
+91 90000 10001,+91 90000 10003,2026-08-16T06:15:00Z,238
+91 90000 10008,+91 90000 10017,2026-08-17T07:15:00Z,631
+91 90000 10001,+91 90000 10018,2026-08-18T08:15:00Z,218
+91 90000 10023,+91 90000 10021,2026-08-19T09:15:00Z,733
+91 90000 10018,+91 90000 10014,2026-08-20T10:15:00Z,240
+91 90000 10015,+91 90000 10019,2026-08-21T11:15:00Z,299
+91 90000 10026,+91 90000 10028,2026-08-22T12:15:00Z,21
+91 90000 10025,+91 90000 10026,2026-08-23T13:15:00Z,178
+91 90000 10023,+91 90000 10014,2026-08-24T14:15:00Z,363
+91 90000 10009,+91 90000 10005,2026-08-25T15:15:00Z,235
+91 90000 10025,+91 90000 10011,2026-08-26T16:15:00Z,119
+91 90000 10003,+91 90000 10013,2026-08-27T17:15:00Z,114
+91 90000 10012,+91 90000 10028,2026-08-28T18:15:00Z,367
+91 90000 10020,+91 90000 10009,2026-08-10T19:15:00Z,841
+91 90000 10002,+91 90000 10024,2026-08-11T20:15:00Z,485
+91 90000 10018,+91 90000 10004,2026-08-12T21:15:00Z,402
+91 90000 10003,+91 90000 10018,2026-08-13T22:15:00Z,315
+91 90000 10027,+91 90000 10021,2026-08-14T23:15:00Z,648
+91 90000 10029,+91 90000 10028,2026-08-15T00:15:00Z,385
+91 90000 10019,+91 90000 10007,2026-08-16T01:15:00Z,736
+91 90000 10003,+91 90000 10002,2026-08-17T02:15:00Z,692
+91 90000 10008,+91 90000 10025,2026-08-18T03:15:00Z,311
+91 90000 10003,+91 90000 10028,2026-08-19T04:15:00Z,253
+91 90000 10028,+91 90000 10004,2026-08-20T05:15:00Z,404
+91 90000 10009,+91 90000 10015,2026-08-21T06:15:00Z,665
+91 90000 10027,+91 90000 10012,2026-08-22T07:15:00Z,181
+91 90000 10012,+91 90000 10012,2026-08-23T08:15:00Z,229
+91 90000 10022,+91 90000 10009,2026-08-24T09:15:00Z,733
+91 90000 10030,+91 90000 10022,2026-08-25T10:15:00Z,678
+91 90000 10003,+91 90000 10020,2026-08-26T11:15:00Z,665
+91 90000 10006,+91 90000 10018,2026-08-27T12:15:00Z,761
+91 90000 10008,+91 90000 10006,2026-08-28T13:15:00Z,488
+91 90000 10013,+91 90000 10009,2026-08-10T14:15:00Z,670
+91 90000 10023,+91 90000 10018,2026-08-11T15:15:00Z,239
+91 90000 10022,+91 90000 10011,2026-08-12T16:15:00Z,878
+91 90000 10025,+91 90000 10025,2026-08-13T17:15:00Z,72
+91 90000 10008,+91 90000 10027,2026-08-14T18:15:00Z,47
+91 90000 10026,+91 90000 10011,2026-08-15T19:15:00Z,425
+91 90000 10009,+91 90000 10003,2026-08-16T20:15:00Z,231
+91 90000 10030,+91 90000 10019,2026-08-17T21:15:00Z,750
+91 90000 10011,+91 90000 10007,2026-08-18T22:15:00Z,686
+91 90000 10016,+91 90000 10013,2026-08-19T23:15:00Z,673
+91 90000 10015,+91 90000 10005,2026-08-20T00:15:00Z,286
+91 90000 10005,+91 90000 10008,2026-08-21T01:15:00Z,777
+91 90000 10018,+91 90000 10018,2026-08-22T02:15:00Z,284
+91 90000 10024,+91 90000 10019,2026-08-23T03:15:00Z,453
+91 90000 10029,+91 90000 10019,2026-08-24T04:15:00Z,423
+91 90000 10012,+91 90000 10008,2026-08-25T05:15:00Z,156
+91 90000 10017,+91 90000 10016,2026-08-26T06:15:00Z,108
+91 90000 10025,+91 90000 10002,2026-08-27T07:15:00Z,896
+91 90000 10004,+91 90000 10005,2026-08-28T08:15:00Z,657
+91 90000 10006,+91 90000 10026,2026-08-10T09:15:00Z,711
+91 90000 10014,+91 90000 10020,2026-08-11T10:15:00Z,80
+91 90000 10013,+91 90000 10013,2026-08-12T11:15:00Z,625
+91 90000 10015,+91 90000 10017,2026-08-13T12:15:00Z,272
+91 90000 10018,+91 90000 10028,2026-08-14T13:15:00Z,26
+91 90000 10022,+91 90000 10024,2026-08-15T14:15:00Z,132
