source,target,platform,timestamp
Joseph Mathew,Joseph Mathew,Forum,2026-08-10T12:00:00Z
Ananya Bose,Ravi Mehta,Forum,2026-08-11T12:00:00Z
Ravi Mehta,Suresh Chandrasekar,Telegram,2026-08-12T12:00:00Z
Ravi Mehta,Harpreet Singh,Signal,2026-08-13T12:00:00Z
Suresh Chandrasekar,Lakshmi Narayanan,Signal,2026-08-14T12:00:00Z
Meera Joshi,Zoya Merchant,Email,2026-08-15T12:00:00Z
Karan Iyer,Neha Kapoor,Signal,2026-08-16T12:00:00Z
Sana Khan,Harpreet Singh,Telegram,2026-08-17T12:00:00Z
Ramesh Kumar Sharma,Ramesh Kumar Sharma,Signal,2026-08-18T12:00:00Z
Arjun Nair,Tara Desai,Email,2026-08-19T12:00:00Z
Meera Joshi,Tara Desai,Signal,2026-08-20T12:00:00Z
Tara Desai,Vikram Rao,Forum,2026-08-21T12:00:00Z
Karan Iyer,Vikram Rao,Signal,2026-08-22T12:00:00Z
Arjun Nair,Suresh Chandrasekar,Forum,2026-08-23T12:00:00Z
Ravi Mehta,Kabir Joshi,Forum,2026-08-24T12:00:00Z
Harpreet Singh,Harpreet Singh,Telegram,2026-08-25T12:00:00Z
Priya Shah,Amit Sharma,Email,2026-08-26T12:00:00Z
Karan Iyer,Suresh Chandrasekar,Forum,2026-08-27T12:00:00Z
Harpreet Singh,Amit Sharma,Forum,2026-08-28T12:00:00Z
Ananya Bose,Maya Sen,Email,2026-08-10T12:00:00Z
Lakshmi Narayanan,Maya Sen,Email,2026-08-11T12:00:00Z
Ananya Bose,Zoya Merchant,Signal,2026-08-12T12:00:00Z
Meera Joshi,Harpreet Singh,Telegram,2026-08-13T12:00:00Z
Nandita Mukherjee,Sana Khan,Signal,2026-08-14T12:00:00Z
Devendra Malik,Joseph Mathew,Signal,2026-08-15T12:00:00Z
Kabir Joshi,Ramesh Kumar Sharma,Signal,2026-08-16T12:00:00Z
Suresh Chandrasekar,Daniel Thomas,Email,2026-08-17T12:00:00Z
Zoya Merchant,Karan Iyer,Email,2026-08-18T12:00:00Z
